entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2024-06-25 07:15:00,60812.7,2024-06-25 09:30:00,61029.6,-216.9,110594.36,10594.360000000002
2024-06-25 09:45:00,61445.1,2024-06-25 17:30:00,61584.2,139.1,110733.46,10733.460000000003
2024-06-25 17:45:00,61344.2,2024-06-25 18:15:00,61970.2,-626.0,110107.46,10107.460000000003
2024-06-25 18:30:00,62013.5,2024-06-25 22:45:00,61885.7,-127.8,109979.66,9979.660000000003
2024-06-25 23:00:00,61705.7,2024-06-26 01:45:00,62065.2,-359.5,109620.16,9620.160000000003
2024-06-26 02:00:00,62320.5,2024-06-26 03:00:00,62038.0,-282.5,109337.66,9337.660000000003
2024-06-26 03:15:00,61887.6,2024-06-26 13:30:00,61612.8,274.8,109612.46,9612.460000000003
2024-06-26 13:45:00,61740.0,2024-06-26 14:45:00,61700.1,-39.9,109572.56,9572.560000000003
2024-06-26 15:00:00,61256.2,2024-06-27 09:00:00,60897.3,358.9,109931.46,9931.460000000003
2024-06-27 09:15:00,61017.4,2024-06-27 15:15:00,61633.2,615.8,110547.26000000001,10547.260000000002
2024-06-27 15:30:00,61588.0,2024-06-28 01:00:00,61608.3,-20.3,110526.96,10526.960000000003
2024-06-28 01:15:00,61915.5,2024-06-28 03:45:00,61803.0,-112.5,110414.46,10414.460000000003
2024-06-28 04:00:00,61712.1,2024-06-28 11:00:00,61535.0,177.1,110591.56,10591.560000000003
2024-06-28 11:15:00,61689.3,2024-06-28 14:00:00,61313.5,-375.8,110215.76000000001,10215.760000000004
2024-06-28 14:15:00,61061.4,2024-06-28 23:45:00,60429.8,631.6,110847.36,10847.360000000004
2024-06-29 00:00:00,60476.2,2024-06-29 05:15:00,60756.7,280.5,111127.86,11127.860000000004
2024-06-29 05:30:00,60723.6,2024-06-29 07:00:00,60953.3,-229.7,110898.16,10898.160000000003
2024-06-29 07:15:00,61103.2,2024-06-29 16:00:00,61013.7,-89.5,110808.66,10808.660000000003
2024-06-29 16:15:00,60945.2,2024-06-30 06:15:00,60879.2,66.0,110874.66,10874.660000000003
2024-06-30 06:30:00,60952.9,2024-06-30 12:15:00,61597.1,644.2,111518.86,11518.860000000004
2024-06-30 12:30:00,61381.7,2024-06-30 14:00:00,61710.2,-426.28,111092.58,11092.580000000004
2024-06-30 15:30:00,61726.2,2024-06-30 20:45:00,61981.6,255.4,111347.98000000001,11347.980000000003
2024-06-30 21:00:00,61897.9,2024-06-30 22:00:00,62105.1,-207.2,111140.78,11140.780000000002
2024-06-30 22:15:00,62948.5,2024-06-30 22:15:00,62948.5,-596.9,110543.88,10543.880000000003
2024-07-01 04:30:00,63211.6,2024-07-01 15:30:00,62916.0,295.6,110839.48000000001,10839.480000000003
2024-07-01 15:45:00,63119.9,2024-07-01 19:15:00,63381.5,261.6,111101.08,11101.080000000004
2024-07-01 19:30:00,63200.1,2024-07-02 03:15:00,63160.0,40.1,111141.18000000001,11141.180000000004
2024-07-02 03:30:00,63204.9,2024-07-02 05:45:00,63010.2,-194.7,110946.48000000001,10946.480000000003
2024-07-02 06:00:00,62927.3,2024-07-02 11:00:00,62687.6,239.7,111186.18000000001,11186.180000000004
2024-07-02 11:15:00,62775.2,2024-07-02 13:30:00,62925.0,149.8,111335.98000000001,11335.980000000003
2024-07-02 13:45:00,62625.3,2024-07-02 18:15:00,62300.0,325.3,111661.28,11661.280000000002
2024-07-02 18:30:00,62292.6,2024-07-03 01:00:00,62028.6,-380.62,111280.66,11280.660000000002
2024-07-03 01:45:00,61617.9,2024-07-03 05:45:00,61114.0,503.9,111784.56,11784.560000000001
2024-07-03 06:00:00,61153.0,2024-07-03 08:30:00,60819.9,-333.1,111451.46,11451.460000000001
2024-07-03 08:45:00,60496.1,2024-07-03 10:30:00,60201.6,294.5,111745.96,11745.960000000001
2024-07-03 10:45:00,60379.8,2024-07-03 19:00:00,60143.8,-236.0,111509.96,11509.960000000001
2024-07-03 19:15:00,59999.9,2024-07-03 21:15:00,59877.1,122.8,111632.76,11632.76
2024-07-03 21:30:00,60132.7,2024-07-04 01:15:00,60249.8,117.1,111749.86,11749.86
2024-07-04 01:30:00,59599.8,2024-07-04 02:00:00,58708.8,891.0,112640.86,12640.86
2024-07-04 02:15:00,58957.3,2024-07-04 07:30:00,58479.1,-478.2,112162.66,12162.66
2024-07-04 07:45:00,58214.0,2024-07-04 15:30:00,57784.1,429.9,112592.56,12592.56
2024-07-04 15:45:00,58137.6,2024-07-04 22:30:00,58243.9,106.3,112698.86,12698.859999999999
2024-07-04 22:45:00,58031.8,2024-07-05 07:30:00,54047.23,3984.57,116683.43,16683.43
2024-07-05 09:30:00,54499.9,2024-07-05 23:00:00,56659.35,2159.45,118842.88,18842.88
2024-07-06 01:45:00,56195.0,2024-07-06 06:45:00,56388.2,-193.2,118649.68,18649.68
2024-07-06 07:00:00,56601.5,2024-07-06 13:45:00,56963.0,361.5,119011.18,19011.18
2024-07-06 14:00:00,56710.8,2024-07-06 15:15:00,57207.6,-496.8,118514.38,18514.38
2024-07-06 15:30:00,57307.0,2024-07-07 00:30:00,58028.5,721.5,119235.88,19235.88
2024-07-07 00:45:00,57910.1,2024-07-07 08:30:00,57448.7,461.4,119697.28,19697.280000000002
2024-07-07 08:45:00,57624.8,2024-07-07 11:00:00,57425.9,-198.9,119498.38,19498.38
2024-07-07 11:15:00,57370.0,2024-07-07 17:30:00,56949.9,420.1,119918.48,19918.48
2024-07-07 17:45:00,57218.8,2024-07-07 20:45:00,57250.1,31.3,119949.78,19949.78
2024-07-07 21:00:00,56716.2,2024-07-08 02:30:00,55333.3,1382.9,121332.68,21332.68
2024-07-08 02:45:00,55362.3,2024-07-08 10:30:00,57374.4,2012.1,123344.78,23344.78
2024-07-08 10:45:00,56800.0,2024-07-08 17:45:00,56262.5,537.5,123882.28,23882.28
2024-07-08 18:00:00,56311.5,2024-07-09 13:00:00,57277.6,966.1,124848.38,24848.379999999997
2024-07-09 13:15:00,57205.7,2024-07-09 13:45:00,57313.4,-107.7,124740.68,24740.679999999997
2024-07-09 14:00:00,57844.6,2024-07-09 14:30:00,57609.3,-235.3,124505.38,24505.379999999997
2024-07-09 14:45:00,57040.3,2024-07-09 18:15:00,57699.9,-875.08,123630.29999999999,23630.299999999996
2024-07-09 18:30:00,58079.9,2024-07-10 00:00:00,57852.0,-227.9,123402.4,23402.399999999994
2024-07-10 00:15:00,57595.5,2024-07-10 03:15:00,57944.6,-349.1,123053.29999999999,23053.299999999996
2024-07-10 03:30:00,58015.0,2024-07-10 08:15:00,58734.4,719.4,123772.7,23772.699999999997
2024-07-10 08:30:00,58639.2,2024-07-10 22:00:00,57509.7,1129.5,124902.2,24902.199999999997
2024-07-10 22:15:00,57775.0,2024-07-11 02:45:00,57846.2,71.2,124973.4,24973.399999999998
2024-07-11 03:00:00,57611.9,2024-07-11 04:30:00,57736.2,-124.3,124849.1,24849.1
2024-07-11 04:45:00,57755.7,2024-07-11 12:30:00,58903.6,1147.9,125997.0,25997.0
2024-07-11 12:45:00,58798.4,2024-07-12 01:15:00,56508.01,2290.39,128287.39,28287.39
2024-07-12 02:30:00,57272.6,2024-07-12 19:30:00,57793.5,520.9,128808.29000000001,28808.29
2024-07-12 19:45:00,57546.1,2024-07-12 22:30:00,57699.0,-152.9,128655.39,28655.39
2024-07-12 22:45:00,57759.2,2024-07-13 10:15:00,58638.2,879.0,129534.39,29534.39
2024-07-13 10:30:00,58350.0,2024-07-13 12:45:00,58742.6,-488.22,129046.17,29046.17
2024-07-13 15:45:00,58808.5,2024-07-13 19:45:00,58596.6,-211.9,128834.26999999999,28834.269999999997
2024-07-13 20:00:00,58566.9,2024-07-13 22:15:00,58375.1,191.8,129026.06999999999,29026.069999999996
2024-07-13 22:30:00,58749.1,2024-07-14 11:45:00,60079.0,1329.9,130355.97,30355.969999999998
2024-07-14 12:00:00,59855.9,2024-07-14 15:30:00,59909.2,-53.3,130302.67,30302.67
2024-07-14 15:45:00,60053.3,2024-07-14 23:45:00,60766.0,712.7,131015.37,31015.37
2024-07-15 00:00:00,60661.9,2024-07-15 00:45:00,61186.8,-524.9,130490.47,30490.469999999998
2024-07-15 01:00:00,61450.0,2024-07-15 10:30:00,62672.1,1222.1,131712.57,31712.569999999996
2024-07-15 10:45:00,62518.8,2024-07-15 14:15:00,62829.9,-311.1,131401.47,31401.469999999998
2024-07-15 14:30:00,62960.8,2024-07-16 05:00:00,64348.8,1388.0,132789.47,32789.47
2024-07-16 05:15:00,63931.0,2024-07-16 09:45:00,63152.2,778.8,133568.27000000002,33568.270000000004
2024-07-16 10:00:00,63284.0,2024-07-17 04:00:00,65780.97,2496.97,136065.24,36065.240000000005
2024-07-17 07:15:00,65396.4,2024-07-17 19:00:00,64477.9,918.5,136983.74,36983.740000000005
2024-07-17 19:15:00,64674.0,2024-07-17 23:30:00,64193.7,-480.3,136503.44,36503.44
2024-07-17 23:45:00,64055.7,2024-07-18 01:00:00,64375.9,-320.2,136183.24,36183.240000000005
2024-07-18 01:15:00,64599.9,2024-07-18 04:45:00,64544.9,-55.0,136128.24,36128.240000000005
2024-07-18 05:00:00,64429.5,2024-07-18 06:30:00,64932.6,-503.1,135625.14,35625.14000000001
2024-07-18 06:45:00,64965.4,2024-07-18 10:00:00,64637.9,-327.5,135297.64,35297.64000000001
2024-07-18 10:15:00,64478.1,2024-07-18 12:30:00,64800.2,-516.14,134781.5,34781.50000000001
2024-07-18 22:15:00,63990.8,2024-07-19 00:45:00,63576.9,-413.9,134367.6,34367.600000000006
2024-07-19 01:00:00,63397.4,2024-07-19 01:45:00,63791.1,-393.7,133973.90000000002,33973.90000000001
2024-07-19 02:00:00,63894.4,2024-07-19 07:15:00,63964.4,70.0,134043.90000000002,34043.90000000001
2024-07-19 07:30:00,63713.1,2024-07-19 11:00:00,63976.4,-263.3,133780.6,33780.600000000006
2024-07-19 11:15:00,64041.9,2024-07-19 18:45:00,66738.98,2697.08,136477.68,36477.68000000001
2024-07-19 23:30:00,66613.2,2024-07-20 06:15:00,66550.0,63.2,136540.88,36540.880000000005
2024-07-20 06:30:00,66633.4,2024-07-20 12:30:00,66457.6,-175.8,136365.08000000002,36365.08
2024-07-20 12:45:00,66444.5,2024-07-20 14:15:00,66564.9,-120.4,136244.68,36244.68
2024-07-20 14:30:00,66655.5,2024-07-20 21:00:00,67050.0,394.5,136639.18,36639.18
2024-07-20 21:15:00,67023.3,2024-07-21 02:00:00,67235.2,-211.9,136427.28,36427.28
2024-07-21 02:15:00,67280.0,2024-07-21 04:45:00,67010.5,-269.5,136157.78,36157.78
2024-07-21 05:00:00,66941.9,2024-07-21 11:45:00,66845.4,96.5,136254.28,36254.28
2024-07-21 12:00:00,66930.2,2024-07-21 17:30:00,67344.9,414.7,136668.97999999998,36668.979999999996
2024-07-21 17:45:00,66620.9,2024-07-21 18:00:00,66258.0,362.9,137031.88,37031.88
2024-07-21 18:15:00,66941.9,2024-07-22 04:45:00,67894.5,952.6,137984.47999999998,37984.479999999996
2024-07-22 05:00:00,67779.9,2024-07-22 11:30:00,67413.0,366.9,138351.38,38351.38
2024-07-22 11:45:00,67479.1,2024-07-22 13:30:00,67387.9,-91.2,138260.18,38260.18
2024-07-22 13:45:00,67073.5,2024-07-22 17:15:00,67263.8,-190.3,138069.88,38069.88
2024-07-22 17:30:00,67286.7,2024-07-22 22:45:00,67610.0,323.3,138393.18,38393.18
2024-07-22 23:00:00,67315.7,2024-07-23 09:00:00,66774.0,541.7,138934.88,38934.88
2024-07-23 09:15:00,66956.7,2024-07-23 12:00:00,66520.0,-436.7,138498.18,38498.18
2024-07-23 12:15:00,66491.8,2024-07-23 14:15:00,66790.9,-299.1,138199.08000000002,38199.08
2024-07-23 14:30:00,67285.2,2024-07-23 16:15:00,66353.7,-931.5,137267.58000000002,37267.58
2024-07-23 16:30:00,66070.5,2024-07-24 03:15:00,65984.2,86.3,137353.88,37353.880000000005
2024-07-24 03:30:00,66092.7,2024-07-24 15:15:00,66337.5,244.8,137598.68,37598.68000000001
2024-07-24 15:30:00,66235.9,2024-07-25 06:15:00,64115.99,2119.91,139718.59000000003,39718.59000000001
2024-07-25 09:15:00,64444.1,2024-07-25 13:45:00,64034.0,-717.37,139001.22,39001.22000000001
2024-07-25 14:00:00,63636.6,2024-07-25 14:15:00,64219.8,-583.2,138418.02000000002,38418.02000000001
2024-07-25 14:30:00,64719.9,2024-07-26 02:45:00,67187.59,2467.69,140885.71000000002,40885.710000000014
2024-07-26 07:45:00,66873.8,2024-07-26 09:30:00,67304.0,-473.16,140412.55000000002,40412.55000000001
2024-07-26 12:15:00,67316.4,2024-07-26 14:00:00,67703.4,387.0,140799.55000000002,40799.55000000001
2024-07-26 14:15:00,67197.9,2024-07-26 18:30:00,67520.0,-322.1,140477.45,40477.45000000001
2024-07-26 18:45:00,67541.8,2024-07-26 20:30:00,67404.3,-137.5,140339.95,40339.95000000001
2024-07-26 20:45:00,67402.7,2024-07-26 21:45:00,67917.1,-766.37,139573.58000000002,39573.58000000001
2024-07-27 02:30:00,67860.0,2024-07-27 15:15:00,68760.1,900.1,140473.68,40473.68000000001
2024-07-27 15:30:00,68684.0,2024-07-27 20:45:00,67758.8,925.2,141398.88,41398.880000000005
2024-07-27 21:00:00,68476.0,2024-07-27 23:30:00,68057.2,-418.8,140980.08000000002,40980.08
2024-07-27 23:45:00,67873.8,2024-07-28 02:30:00,68096.0,-222.2,140757.88,40757.880000000005
2024-07-28 02:45:00,68117.1,2024-07-28 04:30:00,67696.2,-420.9,140336.98,40336.98
2024-07-28 04:45:00,67315.3,2024-07-28 09:45:00,67407.9,-92.6,140244.38,40244.380000000005
2024-07-28 10:00:00,67554.7,2024-07-29 05:00:00,69405.45,1850.75,142095.13,42095.130000000005
2024-07-29 13:30:00,69331.1,2024-07-29 19:00:00,67415.6,1915.5,144010.63,44010.630000000005
2024-07-29 19:15:00,67475.2,2024-07-29 22:45:00,67195.3,-279.9,143730.73,43730.73
2024-07-29 23:00:00,66691.1,2024-07-30 00:45:00,66572.0,119.1,143849.83000000002,43849.83
2024-07-30 01:00:00,66719.7,2024-07-30 12:00:00,66523.4,-196.3,143653.53,43653.53
2024-07-30 12:15:00,66232.0,2024-07-30 16:00:00,66277.8,-45.8,143607.72999999998,43607.729999999996
2024-07-30 16:15:00,66304.0,2024-07-30 18:45:00,65800.2,-503.8,143103.93,43103.92999999999
2024-07-30 19:00:00,65587.9,2024-07-30 21:00:00,66054.0,-466.1,142637.83,42637.829999999994
2024-07-30 21:15:00,66111.8,2024-07-31 04:00:00,65816.4,-295.4,142342.43,42342.42999999999
2024-07-31 04:15:00,65794.4,2024-07-31 05:30:00,65825.7,-31.3,142311.13,42311.12999999999
2024-07-31 05:45:00,66154.2,2024-07-31 10:15:00,66110.9,-43.3,142267.83,42267.82999999999
2024-07-31 10:30:00,65992.5,2024-07-31 13:00:00,66305.2,-312.7,141955.13,41955.12999999999
2024-07-31 13:15:00,66429.9,2024-07-31 14:00:00,66445.2,15.3,141970.43,41970.42999999999
2024-07-31 14:15:00,66101.1,2024-07-31 17:15:00,66508.8,-407.7,141562.72999999998,41562.729999999996
2024-07-31 17:30:00,66747.9,2024-07-31 19:00:00,66236.7,-511.2,141051.53,41051.53
2024-07-31 19:15:00,65738.0,2024-08-01 06:15:00,64222.3,1515.7,142567.22999999998,42567.229999999996
2024-08-01 06:30:00,64382.6,2024-08-01 14:00:00,64610.6,228.0,142795.22999999998,42795.229999999996
2024-08-01 14:15:00,64170.2,2024-08-01 19:00:00,63240.5,929.7,143724.93,43724.92999999999
2024-08-01 19:15:00,63339.2,2024-08-02 01:00:00,64743.1,1403.9,145128.83,45128.829999999994
2024-08-02 01:15:00,64642.1,2024-08-02 03:30:00,64341.7,300.4,145429.22999999998,45429.229999999996
2024-08-02 03:45:00,64600.1,2024-08-02 14:15:00,64907.3,307.2,145736.43,45736.42999999999
2024-08-02 14:30:00,63861.9,2024-08-03 03:00:00,61508.4,2353.5,148089.93,48089.92999999999
2024-08-03 03:15:00,61706.6,2024-08-03 15:00:00,61958.2,251.6,148341.53,48341.52999999999
2024-08-03 15:15:00,61548.0,2024-08-03 23:00:00,60463.3,1084.7,149426.22999999998,49426.22999999999
2024-08-03 23:15:00,60799.9,2024-08-04 07:00:00,60773.1,-26.8,149399.43,49399.429999999986
2024-08-04 07:15:00,60575.5,2024-08-04 09:00:00,60631.6,-56.1,149343.33,49343.32999999999
2024-08-04 09:15:00,60627.7,2024-08-04 13:45:00,60800.1,172.4,149515.72999999998,49515.72999999999
2024-08-04 14:00:00,60471.1,2024-08-04 18:00:00,58188.0,2283.1,151798.83,51798.82999999999
2024-08-04 18:15:00,58340.0,2024-08-04 23:15:00,58565.4,225.4,152024.22999999998,52024.22999999999
2024-08-04 23:30:00,58383.8,2024-08-05 01:15:00,54229.3,4154.5,156178.72999999998,56178.72999999999
